ID	root	kingdom	phylum	class	order	family	genus	species
zotu.1	Root	Eukaryota	Chordata	Actinopteri	Scombriformes	Gempylidae	Thyrsites	Thyrsites_atun
zotu.2	Root	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Lampichthys	Lampichthys_procerus
zotu.3	Root	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Pseudolabrus	Pseudolabrus_miles
zotu.4	Root	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Sprattus	Sprattus_antipodum
zotu.5	Root	Eukaryota	Chordata	Actinopteri	Blenniiformes	Tripterygiidae	Forsterygion	NA
zotu.6	Root	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Lampichthys	Lampichthys_procerus
zotu.7	Root	Eukaryota	Chordata	Actinopteri	Mugiliformes	Mugilidae	Aldrichetta	Aldrichetta_forsteri
zotu.8	Root	Eukaryota	Chordata	Actinopteri	Blenniiformes	Tripterygiidae	Forsterygion	Forsterygion_lapillum
zotu.9	Root	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Latridae	Latridopsis	Latridopsis_forsteri
zotu.10	Root	Eukaryota	Chordata	Actinopteri	Perciformes	Bovichtidae	Bovichtus	Bovichtus_variegatus
zotu.11	Root	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
zotu.12	Root	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Sprattus	Sprattus_antipodum
zotu.13	Root	Eukaryota	Chordata	Actinopteri	Blenniiformes	Tripterygiidae	Forsterygion	Forsterygion_lapillum
zotu.14	Root	NA	NA	NA	NA	NA	NA	NA
zotu.15	Root	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Lampichthys	Lampichthys_procerus
zotu.16	Root	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Sprattus	NA
zotu.17	Root	NA	NA	NA	NA	NA	NA	NA
zotu.18	Root	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Notolabrus	Notolabrus_celidotus
zotu.19	Root	NA	NA	NA	NA	NA	NA	NA
zotu.20	Root	Eukaryota	Chordata	Actinopteri	Blenniiformes	Tripterygiidae	Forsterygion	Forsterygion_lapillum
zotu.21	Root	Eukaryota	Chordata	Actinopteri	Perciformes	Triglidae	Chelidonichthys	NA
zotu.22	Root	NA	NA	NA	NA	NA	NA	NA
zotu.23	Root	Eukaryota	Chordata	Actinopteri	Blenniiformes	Tripterygiidae	Forsterygion	NA
zotu.24	Root	Eukaryota	Chordata	Actinopteri	Labriformes	Odacidae	Odax	Odax_pullus
zotu.25	Root	Eukaryota	Chordata	Actinopteri	Perciformes	Nototheniidae	Notothenia	Notothenia_angustata
zotu.26	Root	Eukaryota	Chordata	Actinopteri	Uranoscopiformes	Pinguipedidae	Parapercis	NA
zotu.27	Root	NA	NA	NA	NA	NA	NA	NA
zotu.28	Root	Eukaryota	Chordata	Actinopteri	Gadiformes	Moridae	Pseudophycis	Pseudophycis_bachus
zotu.29	Root	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	NA
zotu.30	Root	NA	NA	NA	NA	NA	NA	NA
zotu.31	Root	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
zotu.32	Root	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Sprattus	Sprattus_muelleri
zotu.33	Root	NA	NA	NA	NA	NA	NA	NA
zotu.34	Root	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salmo	NA
zotu.35	Root	Eukaryota	Chordata	Actinopteri	Osmeriformes	Retropinnidae	Retropinna	Retropinna_retropinna
zotu.36	Root	NA	NA	NA	NA	NA	NA	NA
zotu.37	Root	NA	NA	NA	NA	NA	NA	NA
zotu.38	Root	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Aplodactylidae	Aplodactylus	Aplodactylus_arctidens
zotu.39	Root	Eukaryota	Chordata	Actinopteri	Blenniiformes	Tripterygiidae	Forsterygion	Forsterygion_lapillum
zotu.40	Root	Eukaryota	Chordata	Actinopteri	Osmeriformes	Retropinnidae	Retropinna	Retropinna_retropinna
zotu.41	Root	NA	NA	NA	NA	NA	NA	NA
zotu.42	Root	NA	NA	NA	NA	NA	NA	NA
zotu.43	Root	Eukaryota	Chordata	Actinopteri	Perciformes	Nototheniidae	Notothenia	Notothenia_angustata
zotu.44	Root	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Sprattus	Sprattus_muelleri
zotu.45	Root	NA	NA	NA	NA	NA	NA	NA
zotu.46	Root	Eukaryota	Chordata	Actinopteri	Scombriformes	Arripidae	Arripis	NA
zotu.47	Root	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	NA	NA
zotu.48	Root	NA	NA	NA	NA	NA	NA	NA
zotu.49	Root	Eukaryota	Chordata	Actinopteri	Beloniformes	Hemiramphidae	Hyporhamphus	Hyporhamphus_melanochir
zotu.50	Root	NA	NA	NA	NA	NA	NA	NA
zotu.51	Root	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Sprattus	Sprattus_muelleri
zotu.52	Root	NA	NA	NA	NA	NA	NA	NA
zotu.53	Root	Eukaryota	Chordata	Actinopteri	Mugiliformes	Mugilidae	Aldrichetta	Aldrichetta_forsteri
zotu.54	Root	Eukaryota	Chordata	Actinopteri	Gadiformes	Moridae	Lotella	Lotella_rhacina
zotu.55	Root	NA	NA	NA	NA	NA	NA	NA
zotu.56	Root	Eukaryota	Chordata	Actinopteri	Perciformes	Bovichtidae	Bovichtus	Bovichtus_variegatus
zotu.57	Root	NA	NA	NA	NA	NA	NA	NA
zotu.58	Root	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Cheilodactylidae	NA	NA
zotu.59	Root	NA	NA	NA	NA	NA	NA	NA
zotu.60	Root	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Sprattus	Sprattus_muelleri
zotu.61	Root	Eukaryota	Chordata	Actinopteri	Perciformes	Bovichtidae	Bovichtus	Bovichtus_variegatus
zotu.62	Root	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Pseudolabrus	NA
zotu.63	Root	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
zotu.64	Root	NA	NA	NA	NA	NA	NA	NA
zotu.65	Root	Eukaryota	Chordata	Chondrichthyes	Rajiformes	Rajidae	Dipturus	NA
zotu.66	Root	NA	NA	NA	NA	NA	NA	NA
zotu.67	Root	NA	NA	NA	NA	NA	NA	NA
zotu.68	Root	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
zotu.69	Root	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	NA	NA
zotu.70	Root	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Notolabrus	Notolabrus_celidotus
zotu.71	Root	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
zotu.72	Root	NA	NA	NA	NA	NA	NA	NA
zotu.73	Root	NA	NA	NA	NA	NA	NA	NA
zotu.74	Root	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Lampichthys	Lampichthys_procerus
zotu.75	Root	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	NA	NA
zotu.76	Root	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	NA	NA
zotu.77	Root	Eukaryota	Chordata	Actinopteri	Blenniiformes	Tripterygiidae	Forsterygion	NA
zotu.78	Root	NA	NA	NA	NA	NA	NA	NA
zotu.79	Root	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Lampichthys	Lampichthys_procerus
zotu.80	Root	NA	NA	NA	NA	NA	NA	NA
zotu.81	Root	NA	NA	NA	NA	NA	NA	NA
zotu.82	Root	NA	NA	NA	NA	NA	NA	NA
zotu.83	Root	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	NA	NA
zotu.84	Root	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
zotu.85	Root	NA	NA	NA	NA	NA	NA	NA
zotu.86	Root	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	NA	NA
zotu.87	Root	NA	NA	NA	NA	NA	NA	NA
zotu.88	Root	NA	NA	NA	NA	NA	NA	NA
zotu.89	Root	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Pseudolabrus	NA
zotu.90	Root	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
zotu.91	Root	Eukaryota	Chordata	Actinopteri	Perciformes	Bovichtidae	Bovichtus	Bovichtus_variegatus
zotu.92	Root	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
zotu.93	Root	NA	NA	NA	NA	NA	NA	NA
zotu.94	Root	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	NA	NA
zotu.95	Root	NA	NA	NA	NA	NA	NA	NA
zotu.96	Root	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	NA
zotu.97	Root	NA	NA	NA	NA	NA	NA	NA
