TaxID	AM101	AM102	AM103	AM104	AM105	AM11	AM111	AM112	AM113	AM114	AM115	AM12	AM121	AM122	AM123	AM125	AM13	AM131	AM133	AM134	AM14	AM15	AM21	AM22	AM23	AM24	AM25	AM31	AM32	AM33	AM34	AM35	AM41	AM42	AM43	AM44	AM45	AM51	AM52	AM53	AM54	AM55	AM61	AM62	AM63	AM64	AM65	AM71	AM72	AM73	AM74	AM75	AM81	AM82	AM83	AM84	AM85	AM91	AM92	AM93	AM94	AM95
zotu.1	9152	0	1	0	9092	17795	13496	7126	7504	18242	20717	7945	5	36164	0	19644	10278	0	25572	48	23064	8798	10144	9063	7322	11909	7066	0	0	11605	1	10837	29493	34066	32277	24441	32008	11010	4185	0	4230	20754	0	8539	13353	23989	17982	8051	13758	20144	18025	13907	1	1	16929	4549	9271	19678	2	4	9871	0
zotu.10	0	0	0	0	0	0	0	0	16610	2527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1087	0	140	0	0	177	0	577	696	0	0	0	17360	2239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zotu.11	2	0	0	0	0	528	2	1	6	2	6	0	0	0	0	5	0	1	0	30922	4	4	0	1270	1	2	2	0	0	0	0	0	8	11	6	2	4	0	1	0	0	8	0	1	1	0	0	0	3	9	6	0	0	0	0	4	0	1	0	0	8	0
zotu.12	0	0	0	0	0	1	5122	7	535	1	1849	2205	15175	0	1	0	1	0	0	0	1332	5	3484	850	1054	4	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1140	0	0	0	6	0	0	0	121	0	0	0	5	0	0	0	0	0	0	0	0	0
zotu.13	736	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	4	1	0	1	0	0	0	0	0	0	0	0	0	29657	0	0	0	0	1	584	3	0
zotu.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7503	8241	0	1482	10702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zotu.15	0	0	0	0	0	4124	0	0	0	0	0	1389	0	0	0	0	5804	0	0	0	79	1120	71	412	678	3899	2572	5518	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	9	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zotu.16	0	0	0	0	0	2	3791	2697	2402	4	1	16	2	0	0	0	2	0	0	0	2	4	0	0	1	5	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	13904	0	2	0	42	0	0	0	6	0	0	0	0	0	0	0	0	0
zotu.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2577	4707	0	0	0	0	37	0	0	1	10594	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zotu.18	3	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	690	0	0	0	0	0	0	0	0	0	0	0	0	10242	895	46	1110	2097	0	0	0	0	0	0	0	0	0	0
zotu.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zotu.2	0	0	0	0	0	8396	0	0	0	0	0	14219	0	0	0	0	11817	0	0	0	7970	18126	11071	14872	14055	15732	8855	1	0	0	4509	0	0	0	0	0	0	0	0	9618	0	9133	32709	19397	3	5893	1946	0	0	2	0	28	0	0	19485	19716	18383	0	0	0	0	0
zotu.20	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	11217	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0
zotu.21	8225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zotu.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4159	0	3070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zotu.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2728	482	0	68	1912	1106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zotu.24	0	0	0	0	0	0	0	0	0	0	0	1182	0	0	0	0	0	0	0	0	0	0	755	1765	132	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zotu.25	0	0	0	0	0	0	0	0	0	0	845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	968	0	0	0	0	0	0	0	3431	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zotu.26	0	0	0	0	0	0	4187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zotu.27	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zotu.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2221	0	0	0	0	0	0	579	0	0	0	0	0	0	0	0	171	0	0	241	64	12	43	15	0	0	0	0	0	0	0	0	0	0
zotu.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zotu.3	5073	0	0	0	7128	1	413	8063	4460	4609	7171	815	0	0	0	0	0	0	0	1	1963	0	1392	473	841	288	3468	6444	18402	6365	9197	7659	33	0	516	636	72	11456	0	0	20224	0	0	790	0	0	0	27	0	20	0	0	0	0	0	0	0	0	0	0	0	0
zotu.30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	192	0	0	0	0	2160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zotu.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
zotu.32	0	0	0	0	0	0	0	0	0	0	0	1694	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
